id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
39,Health,,Infectious Diseases,,,Cold Chain and Vaccination Management System,cold_chain_and_vaccination_manag,github.com/EL-BID/ccvms,https://github.com/EL-BID/API-SGiS,InterAmerican Development Bank,Digital Public Goods Alliance,,,
566,Rural Development,,Agricultural Policy and Food,,,Collect Earth,collect_earth,www.openforis.org/tools/collect-earth.html,https://github.com/openforis/collect-earth,FAO - Open Foris Initiative,Digital Public Goods Alliance,,,
2,"Digital, Data, and Technology",Health,Data Collection,Data Managament and Policy,,CommCare,commcare,www.dimagi.com/commcare,https://github.com/dimagi/commcare-hq,Dimagi,Digital Public Goods Alliance; Digital Square,,,
38,State and Democracy (Good Governance),,Democracy and the rule of law,,,Consul,consul,consulproject.org,https://github.com/consul/consul,Consul,Digital Public Goods Alliance,,,
590,State and Democracy (Good Governance),,Democracy and the rule of law,,,Cookie Consent,cookie_consent,www.osano.com/cookieconsent,https://github.com/osano/cookieconsent,Osano,Digital Public Goods Alliance,,,
439,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,Corona Warn App - Android,corona_warn_app__android,coronawarn.app,https://github.com/corona-warn-app/cwa-app-android,Deutsche Telekom and SAP,Digital Public Goods Alliance,,,
523,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,Corona Warn App - iOS,corona_warn_app__ios,coronawarn.app,https://github.com/corona-warn-app/cwa-app-ios,Deutsche Telekom; SAP,Digital Public Goods Alliance,DUPLICATE,,
456,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,Coronavirus Service Directory,coronavirus_service_directory,coronavirus-help.camden.gov.uk,https://github.com/wearefuturegov/coronavirus-service-directory,FutureGov,Digital Public Goods Alliance,,,
492,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID Act Now,covid_act_now,covidactnow.org,https://github.com/covid-projections/covid-projections,Covid ActNow,Digital Public Goods Alliance,,,
495,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID Alert Mobile App,covid_alert_mobile_app,github.com/cds-snc/covid-alert-app,https://github.com/cds-snc/covid-alert-app,Canadian Digital Service,Digital Public Goods Alliance,,,
446,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,Covid CareMap,covid_caremap,www.covidcaremap.org,https://github.com/covidcaremap/covid19-healthsystemcapacity,Covid Care Map,Digital Public Goods Alliance,,,
455,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID Safe Paths,covid_safe_paths,covidsafepaths.org,https://github.com/tripleblindmarket/covid-safe-paths,MIT,Digital Public Goods Alliance,,,
531,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID Tracking Data,covid_tracking_data,covidtracking.com,https://github.com/COVID19Tracking/covid-tracking-data,"The Atlantic, Related Sciences",Digital Public Goods Alliance,,,
445,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Algorithme Orientation,covid19_algorithme_orientation,delegation-numerique-en-sante.github.io/covid19-algorithme-orientation,https://github.com/Delegation-numerique-en-sante/covid19-algorithme-orientation,The French Ministry of Social Affairs and Health,Digital Public Goods Alliance,,,
514,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Benefits,covid19_benefits,covid-benefits.alpha.canada.ca/en/start,https://github.com/cds-snc/c19-benefits-node/,Canadian Digital Service,Digital Public Goods Alliance,,,
524,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Data Repository for South Africa,covid19_data_repository_for_sout,bitly.com/covid19za-dash,https://github.com/dsfsi/covid19za,University of Pretoria,Digital Public Goods Alliance,,,
513,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Employee Screening Tool,covid19_employee_screening_tool,github.com/code-for-canada/covid19-employee-screening-tool,https://github.com/code-for-canada/covid19-employee-screening-tool,Code for Canada,Digital Public Goods Alliance,,,
440,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,COVID-19 Hospital Impact Model for Epidemics,covid19_hospital_impact_model_fo,penn-chime.phl.io,https://github.com/CodeForPhilly/chime,Penn Medicine,Digital Public Goods Alliance,,,
